run_label,seed,lane,d_model,total_layers,parameters,train_tokens,final_loss,train_tokens_per_second,nominal_flops,runtime_adjusted_flops
fractal-path1-cuda-parity-15199-s42-20260422T042837Z,42,attention-only,128,8,9778176,249020416,4.490519016981125,181593.86549598482,1.4609792731447296e+16,1.4609792731447296e+16
fractal-path1-cuda-parity-15199-s42-20260422T042837Z,42,parcae-bx-looped-attention,128,8,9811584,249020416,4.489436827600002,173256.67295699427,1.4659708375793664e+16,1.5365140433379012e+16
fractal-path1-cuda-parity-15199-s42-20260422T042837Z,42,parcae-p20-control-looped-attention,128,8,9873728,249020416,4.434590771794319,167828.4328842471,1.4752559124185088e+16,1.5962576729573262e+16
fractal-path1-cuda-parity-2048-20260422T020724Z,42,attention-only,128,8,9778176,33554432,5.219889312982559,180897.22191290694,1968606850056192.0,1968606850056192.0
fractal-path1-cuda-parity-2048-20260422T020724Z,42,parcae-bx-looped-attention,128,8,9811584,33554432,5.261453397572041,171663.4312085753,1975332768841728.0,2081586088086702.5
fractal-path1-cuda-parity-2048-20260422T020724Z,42,parcae-p20-control-looped-attention,128,8,9873728,33554432,5.157606430351734,164885.53943744313,1987844008574976.0,2180879293443794.5
fractal-path1-cuda-parity-8192-20260422T023232Z,42,attention-only,128,8,9778176,134217728,4.662660218775272,179088.84341801025,7874427400224768.0,7874427400224768.0
fractal-path1-cuda-parity-8192-20260422T023232Z,42,parcae-bx-looped-attention,128,8,9811584,134217728,4.668864548206329,169919.24430313305,7901331075366912.0,8327722086768674.0
fractal-path1-cuda-parity-8192-20260422T023232Z,42,parcae-p20-control-looped-attention,128,8,9873728,134217728,4.614442266523838,164470.73788341816,7951376034299904.0,8658091742579953.0
fractal-path1-cuda-parity-8192-s43-20260422T033815Z,43,attention-only,128,8,9778176,134217728,4.665321260690689,180384.09105635228,7874427400224768.0,7874427400224768.0
fractal-path1-cuda-parity-8192-s43-20260422T033815Z,43,parcae-bx-looped-attention,128,8,9811584,134217728,4.678268380463123,172099.13110433696,7901331075366912.0,8281706101707642.0
fractal-path1-cuda-parity-8192-s43-20260422T033815Z,43,parcae-p20-control-looped-attention,128,8,9873728,134217728,4.611684180796146,166154.64239111982,7951376034299904.0,8632330207290723.0
fractal-path1-cuda-parity-scout-20260422T013908Z,42,attention-only,128,8,9778176,1638400,6.7033761739730835,181484.32117687157,96123381350400.0,96123381350400.0
fractal-path1-cuda-parity-scout-20260422T013908Z,42,parcae-bx-looped-attention,128,8,9811584,1638400,6.780262321233749,173863.1697111187,96451795353600.0,100679681816011.45
fractal-path1-cuda-parity-scout-20260422T013908Z,42,parcae-p20-control-looped-attention,128,8,9873728,1638400,6.711284637451172,158591.25709437195,97062695731200.0,111073950538722.3
